Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     0.827327   0.666667   0.921692  0.666667
1     0.611085   0.666667   0.694898  0.666667
2     0.577657   0.666667   0.655179  0.666667
3     0.554937   0.666667   0.626138  0.666667
4     0.560111   0.666667   0.628348  0.666667
5     1.799738   0.619048   1.748249  0.577778
6     1.882129   0.628571   1.806457  0.577778
7     1.861704   0.619048   1.782775  0.577778
8     1.877991   0.619048   1.794190  0.577778
9     1.873781   0.619048   1.786409  0.577778
10    1.860203   0.628571   1.769617  0.577778
11    1.842491   0.628571   1.749280  0.577778
12    1.838060   0.628571   1.741255  0.577778
13    1.834922   0.628571   1.734565  0.577778
14    1.840101   0.628571   1.735551  0.577778
15    1.834713   0.628571   1.726899  0.577778
16    1.824619   0.628571   1.713883  0.577778
17    1.807301   0.628571   1.694258  0.600000
18    1.790711   0.628571   1.675355  0.600000
19    1.780706   0.638095   1.662666  0.600000
20    1.765664   0.638095   1.645445  0.600000
21    1.748619   0.647619   1.626461  0.600000
22    1.730821   0.647619   1.606886  0.600000
23    1.712856   0.647619   1.587269  0.600000
24    1.695004   0.647619   1.567871  0.600000
25    1.677407   0.647619   1.548829  0.600000
26    1.667965   0.647619   1.537244  0.600000
27    1.654200   0.647619   1.522056  0.600000
28    1.643397   0.647619   1.509740  0.600000
29    1.629031   0.647619   1.494257  0.600000
