Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     1.155591   0.333333   1.155661  0.333333
1     1.122715   0.333333   1.122763  0.333333
2     1.113785   0.333333   1.113817  0.333333
3     1.110381   0.333333   1.110407  0.333333
4     1.107699   0.333333   1.107737  0.333333
5     1.103746   0.333333   1.103846  0.333333
6     1.095186   0.333333   1.095527  0.333333
7     1.070114   0.333333   1.071358  0.333333
8     1.006211   0.333333   1.008593  0.333333
9     0.932931   0.666667   0.934693  0.666667
10    0.876997   0.666667   0.878384  0.666667
11    0.834727   0.666667   0.836365  0.666667
12    0.800362   0.666667   0.802443  0.666667
13    0.771033   0.666667   0.773498  0.666667
14    0.745577   0.666667   0.748316  0.666667
15    0.723337   0.666667   0.726252  0.666667
16    0.703819   0.666667   0.706832  0.666667
17    0.686615   0.666667   0.689667  0.666667
18    0.671381   0.666667   0.674432  0.666667
19    0.657831   0.666667   0.660848  0.666667
20    0.645723   0.666667   0.648684  0.666667
21    0.634851   0.666667   0.637740  0.666667
22    0.625043   0.666667   0.627850  0.666667
23    0.616150   0.666667   0.618867  0.666667
24    0.608044   0.666667   0.610666  0.666667
25    0.600611   0.666667   0.603138  0.666667
26    0.593750   0.666667   0.596181  0.666667
27    0.587366   0.666667   0.589702  0.666667
28    0.581365   0.666667   0.583610  0.666667
29    0.575649   0.666667   0.577809  0.666667
