Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     1.104422   0.333333   1.104422  0.333333
1     1.104838   0.333333   1.104838  0.333333
2     1.105861   0.333333   1.105861  0.333333
3     1.109490   0.333333   1.109490  0.333333
4     1.111035   0.333333   1.111035  0.333333
5     1.112557   0.333333   1.112557  0.333333
6     1.109707   0.333333   1.109707  0.333333
7     1.108169   0.333333   1.108169  0.333333
8     1.111548   0.333333   1.111548  0.333333
9     1.109104   0.333333   1.109104  0.333333
10    1.107799   0.333333   1.107799  0.333333
11    1.107081   0.333333   1.107081  0.333333
12    1.106676   0.333333   1.106676  0.333333
13    1.106443   0.333333   1.106443  0.333333
14    1.106307   0.333333   1.106307  0.333333
15    1.106226   0.333333   1.106226  0.333333
16    1.106178   0.333333   1.106178  0.333333
17    1.106150   0.333333   1.106150  0.333333
18    1.106132   0.333333   1.106132  0.333333
19    1.106122   0.333333   1.106122  0.333333
20    1.106116   0.333333   1.106116  0.333333
21    1.106112   0.333333   1.106112  0.333333
22    1.106110   0.333333   1.106110  0.333333
23    1.106109   0.333333   1.106109  0.333333
24    1.106108   0.333333   1.106108  0.333333
25    1.106107   0.333333   1.106107  0.333333
26    1.106107   0.333333   1.106107  0.333333
27    1.106107   0.333333   1.106107  0.333333
28    1.106107   0.333333   1.106107  0.333333
29    1.106107   0.333333   1.106107  0.333333
