Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     2.002196   0.333333   2.002243  0.333333
1     1.943619   0.333333   1.943673  0.333333
2     1.927285   0.333333   1.927337  0.333333
3     1.921016   0.333333   1.921082  0.333333
4     1.915906   0.333333   1.916043  0.333333
5     1.906507   0.333333   1.906913  0.333333
6     1.879229   0.333333   1.880613  0.333333
7     1.810508   0.333333   1.812951  0.333333
8     1.729821   0.666667   1.731632  0.666667
9     1.663903   0.666667   1.665606  0.666667
10    1.610357   0.666667   1.612705  0.666667
11    1.563669   0.666667   1.566806  0.666667
12    1.521549   0.666667   1.525341  0.666667
13    1.483243   0.666667   1.487526  0.666667
14    1.448333   0.666667   1.452969  0.666667
15    1.416485   0.666667   1.421364  0.666667
16    1.387398   0.666667   1.392432  0.666667
17    1.360792   0.666667   1.365912  0.666667
18    1.336400   0.666667   1.341553  0.666667
19    1.313967   0.666667   1.319111  0.666667
20    1.293237   0.666667   1.298343  0.666667
21    1.273941   0.666667   1.278988  0.666667
22    1.255756   0.666667   1.260738  0.666667
23    1.238239   0.666667   1.243168  0.666667
24    1.220686   0.666667   1.225617  0.666667
25    1.202038   0.666667   1.207105  0.666667
26    1.181651   0.666667   1.187060  0.666667
27    1.161598   0.666667   1.167422  0.666667
28    1.144896   0.666667   1.151003  0.666667
29    1.131491   0.666667   1.137720  0.666667
