Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     1.986701   0.333333   1.986722  0.333333
1     1.948911   0.333333   1.948911  0.333333
2     1.940007   0.333333   1.939987  0.333333
3     1.934935   0.333333   1.934920  0.333333
4     1.925780   0.333333   1.925901  0.333333
5     1.890867   0.333333   1.892089  0.333333
6     1.738627   0.400000   1.742223  0.400000
7     1.576116   0.666667   1.578931  0.666667
8     1.473465   0.666667   1.477511  0.666667
9     1.397451   0.666667   1.402594  0.666667
10    1.337653   0.666667   1.343368  0.666667
11    1.289928   0.666667   1.295854  0.666667
12    1.251366   0.666667   1.257281  0.666667
13    1.219804   0.666667   1.225578  0.666667
14    1.193637   0.666667   1.199195  0.666667
15    1.171667   0.666667   1.176970  0.666667
16    1.152987   0.666667   1.158018  0.666667
17    1.136903   0.666667   1.141657  0.666667
18    1.122869   0.666667   1.127351  0.666667
19    1.110440   0.666667   1.114659  0.666667
20    1.099230   0.666667   1.103202  0.666667
21    1.088878   0.666667   1.092628  0.666667
22    1.079021   0.666667   1.082586  0.666667
23    1.069309   0.666667   1.072746  0.666667
24    1.059563   0.666667   1.062939  0.666667
25    1.050059   0.666667   1.053417  0.666667
26    1.041435   0.666667   1.044750  0.666667
27    1.033984   0.666667   1.037176  0.666667
28    1.027416   0.666667   1.030389  0.666667
29    1.021255   0.666667   1.023943  0.666667
