Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     2.197846   0.333333   2.517828  0.333333
1     2.061220   0.333333   2.204175  0.333333
2     2.005319   0.333333   2.073520  0.333333
3     1.990161   0.333333   2.034414  0.333333
4     1.979867   0.333333   2.016319  0.333333
5     1.959230   0.333333   1.993662  0.333333
6     1.973481   0.333333   2.009535  0.333333
7     1.982544   0.333333   2.020591  0.333333
8     1.971880   0.333333   2.008776  0.333333
9     1.955941   0.333333   1.990484  0.333333
10    1.978988   0.333333   2.016969  0.333333
11    1.964514   0.333333   2.001405  0.333333
12    1.955318   0.333333   1.989051  0.333333
13    1.973464   0.333333   2.006944  0.333333
14    1.957663   0.333333   1.990310  0.333333
15    1.961877   0.333333   1.995991  0.333333
16    1.961318   0.333333   1.995582  0.333333
17    1.949743   0.333333   1.981410  0.333333
18    1.970417   0.333333   2.006656  0.333333
19    1.972485   0.333333   2.009051  0.333333
20    1.955157   0.333333   1.987425  0.333333
21    1.958695   0.333333   1.992055  0.333333
22    1.971053   0.333333   2.006609  0.333333
23    1.953014   0.333333   1.982209  0.333333
24    1.952690   0.333333   1.983592  0.333333
25    1.972083   0.333333   2.006384  0.333333
26    1.961125   0.333333   1.993312  0.333333
27    1.948585   0.333333   1.978672  0.333333
28    1.959532   0.333333   1.989740  0.333333
29    1.965234   0.333333   1.997536  0.333333
