Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     1.917032   0.333333   1.916917  0.333333
1     1.931521   0.333333   1.931646  0.333333
2     1.917399   0.333333   1.917235  0.333333
3     1.920627   0.333333   1.920760  0.333333
4     1.895802   0.333333   1.894405  0.333333
5     1.903357   0.333333   1.902730  0.333333
6     1.880698   0.333333   1.882093  0.333333
7     1.891572   0.666667   1.893584  0.644444
8     1.807429   0.371429   1.810569  0.377778
9     1.820728   0.666667   1.824993  0.666667
10    1.883177   0.657143   1.891160  0.666667
11    1.827356   0.590476   1.836046  0.488889
12    1.627907   0.666667   1.630554  0.666667
13    1.640040   0.657143   1.646954  0.666667
14    1.926201   0.647619   1.944249  0.600000
15    1.681080   0.657143   1.688268  0.666667
16    1.575503   0.657143   1.590516  0.666667
17    1.636764   0.638095   1.656039  0.600000
18    1.717821   0.352381   1.735223  0.333333
19    1.639403   0.466667   1.656797  0.377778
20    1.627319   0.666667   1.644945  0.666667
21    1.681388   0.666667   1.693235  0.666667
22    1.426376   0.666667   1.434003  0.666667
23    1.569972   0.666667   1.587216  0.666667
24    1.841223   0.333333   1.860344  0.333333
25    1.504614   0.666667   1.519077  0.666667
26    1.389933   0.657143   1.405619  0.666667
27    1.427085   0.657143   1.450654  0.666667
28    1.748738   0.400000   1.784801  0.333333
29    1.538688   0.647619   1.561980  0.622222
