Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     2.110464   0.333333   2.259471  0.333333
1     2.047328   0.333333   2.190278  0.333333
2     2.027634   0.333333   2.166237  0.333333
3     2.018783   0.333333   2.154530  0.333333
4     2.012109   0.333333   2.146745  0.333333
5     1.999379   0.333333   2.134167  0.333333
6     1.964696   0.333333   2.103490  0.333333
7     1.895360   0.333333   2.039641  0.333333
8     1.828586   0.666667   1.977365  0.666667
9     1.776054   0.666667   1.929227  0.666667
10    1.731926   0.666667   1.889364  0.666667
11    1.692317   0.666667   1.853788  0.666667
12    1.656013   0.666667   1.821265  0.666667
13    1.622436   0.666667   1.791205  0.666667
14    1.591670   0.666667   1.764429  0.666667
15    1.563105   0.666667   1.739787  0.666667
16    1.535601   0.666667   1.716014  0.666667
17    1.507391   0.666667   1.691464  0.666667
18    1.476494   0.666667   1.664434  0.666667
19    1.445369   0.666667   1.637581  0.666667
20    1.419819   0.666667   1.616361  0.666667
21    1.400115   0.666667   1.600885  0.666667
22    1.383600   0.666667   1.588732  0.666667
23    1.369111   0.666667   1.578414  0.666667
24    1.356021   0.666667   1.569199  0.666667
25    1.344185   0.666667   1.560968  0.666667
26    1.333487   0.666667   1.553629  0.666667
27    1.323817   0.666667   1.547091  0.666667
28    1.315071   0.666667   1.541271  0.666667
29    1.307150   0.666667   1.536084  0.666667
