Training 30 epochs complete.

    train_cost  train_acc  test_cost  test_acc
0     1.107051   0.333333   1.110724  0.311111
1     1.099879   0.333333   1.099915  0.333333
2     1.099615   0.333333   1.099652  0.333333
3     1.101120   0.333333   1.101158  0.333333
4     1.102686   0.333333   1.102724  0.333333
5     1.103884   0.333333   1.103923  0.333333
6     1.104705   0.333333   1.104743  0.333333
7     1.105237   0.333333   1.105276  0.333333
8     1.105572   0.333333   1.105611  0.333333
9     1.105780   0.333333   1.105819  0.333333
10    1.105908   0.333333   1.105947  0.333333
11    1.105986   0.333333   1.106025  0.333333
12    1.106033   0.333333   1.106072  0.333333
13    1.106062   0.333333   1.106101  0.333333
14    1.106080   0.333333   1.106119  0.333333
15    1.106090   0.333333   1.106129  0.333333
16    1.106097   0.333333   1.106136  0.333333
17    1.106101   0.333333   1.106140  0.333333
18    1.106103   0.333333   1.106142  0.333333
19    1.106104   0.333333   1.106143  0.333333
20    1.106105   0.333333   1.106144  0.333333
21    1.106106   0.333333   1.106145  0.333333
22    1.106106   0.333333   1.106145  0.333333
23    1.106106   0.333333   1.106145  0.333333
24    1.106106   0.333333   1.106145  0.333333
25    1.106106   0.333333   1.106145  0.333333
26    1.106106   0.333333   1.106145  0.333333
27    1.106107   0.333333   1.106145  0.333333
28    1.106107   0.333333   1.106145  0.333333
29    1.106107   0.333333   1.106145  0.333333
